"page_name","country","post_date","total_interactions","Message","URL"
"News24.com","ZA",2020-02-08,98,"China is preparing steps to adjust to a slower rate of economic growth as coronavirus shows few signs of abating.","https://www.facebook.com/10227041841/posts/10158296891011842"
"NDTV","IN",2023-01-02,98,"He also claimed that the Sino-Indian border conflict has a link with a weak economy, a confused nation without any vision, hatred, anger and the Chinese sitting in Indian territory.","https://www.facebook.com/100064668314825/posts/564496572382615"
"CBC News","CA",2023-05-10,98,"Prime Minister Justin Trudeau says his government's decision to expel a Chinese diplomat sends a direct message to Beijing that Canada will not be intimidated by the Asian economic superpower.","https://www.facebook.com/100064598657599/posts/630178765812073"
"Infobae","AR",2023-01-02,96,"Para gran parte de la economía mundial, 2023 será un año difícil ya que los principales motores del crecimiento, Estados Unidos, Europa y China, experimentarán un debilitamiento de la actividad, dijo la directora gerente del Fondo Monetario Internacional, Kristalina Georgieva https://infob.ae/3Q7l7Ps:=:https://www.infobae.com/america/mundo/2023/01/02/el-fmi-cree-que-el-crecimiento-de-china-sufrira-una-fuerte-desaceleracion-y-arrastrara-al-resto-del-mundo/","https://www.facebook.com/34839376970/posts/10160792451221971"
"NDTV","IN",2020-10-31,95,"""We shouldn't and couldn't simply repeat the previous model, but should strive to shape new industrial chain,"" Xi Jinping said","https://www.facebook.com/102527030797/posts/10159284072590798"
"CBC News","CA",2021-09-19,95,"The company has become one of the biggest property developers in China in recent years, but is now struggling with a massive debt load and looming payments.","https://www.facebook.com/5823419603/posts/10159992080219604"
"CNA","SG",2021-09-08,94,"Sanae Takaichi, who is reportedly backed by former prime minister Shinzo Abe, is looking to campaign on Japan's economic woes and tackling China's technology threat.","https://www.facebook.com/93889432933/posts/10158516382147934"
"detikcom","ID",2020-10-20,94,"Setelah merosot karena Covid-19, China mengalami pertumbuhan ekonomi hampir 5% pada kuartal ketiga tahun ini, sementara negara-negara lain mengalami resesi. #China #Resesi","https://www.facebook.com/374777242078/posts/10159832879447079"
"ABC News","AU",2023-06-26,94,"Professor He-Ling Shi says China's economy is ""very sluggish"" as it struggles to recover from the pandemic.","https://www.facebook.com/100044138394046/posts/834266884721250"
"CBC News","CA",2022-11-25,94,"A former employee of Quebec's electricity utility charged with economic espionage for the benefit of China denied he was a flight risk and wants to stay in Canada to fight the charges.","https://www.facebook.com/100064598657599/posts/518299100333374"
"CNA","SG",2021-09-30,93,"Beyond factories, China’s farmers are also facing losses as power outages have hit the production of ingredients for animal feedstock.","https://www.facebook.com/93889432933/posts/10158551477072934"
"ABC News","AU",2022-05-17,93,"Investor sentiment was affected by China's worse-than-expected economic figures, which showed that widening COVID-19 lockdowns took a heavy toll on consumption, industrial production and employment in April, adding to fears of a global slowdown.","https://www.facebook.com/72924719987/posts/10163467790179988"
"NDTV","IN",2020-08-01,93,"The move, the latest blow to U.S.-China relations, came a week after U.S. President Donald Trump closed the Chinese consulate in Houston, prompting Beijing to shutter the U.S. consulate in Chengdu.","https://www.facebook.com/102527030797/posts/10159033790530798"
"GMA News","PH",2023-09-20,93,"Magpupulong sina Justice Secretary Jesus Crispin Remulla at Executive Secretary Lucas Bersamin para talakayin ang isasampang kaso laban sa China. Kasunod 'yan ng nakitang mga sirang bahura sa bahagi ng exclusive economic zone ng bansa kung saan may pabalik-balik umanong mga barko ng China. Kaugnay na balita: https://www.gmanetwork.com/news/topstories/nation/882692/ph-eyes-new-complaint-vs-china-before-int-l-tribunal-over-coral-harvesting/story/","https://www.facebook.com/100064849986224/posts/716712200500440"
"Citizen TV Kenya","KE",2023-11-02,92,"HRW Accuses Uganda Of Crackdown On Activists Protesting Oil Project","https://www.facebook.com/100044260518058/posts/896700458481963"
"CNA","SG",2023-02-02,92,"China's fertility rate is among the lowest in the world, which will bring about drastic changes not just in its population structure but its economy, says East Asia Institute's Sarah Y Tong.","https://www.facebook.com/93889432933/posts/10159433690167934"
"CNA","SG",2019-12-02,92,"Economists had expected rationality to prevail. We did not foresee a scenario where tariffs would be raised many times and followed by retaliation, says Scotiabank’s Tuuli McCully.","https://www.facebook.com/93889432933/posts/10156907066807934"
"CNA","SG",2024-01-24,92,"Amid the economic malaise and stock slump, the Chinese public are waiting for stimulus measures from Beijing.","https://www.facebook.com/100064391875569/posts/773582388131483"
"CNA","SG",2023-12-27,92,"“We need to equip our kids with the tools to deal with probably the pre-eminent economic force in the world for the next millennium,"" says one American parent.","https://www.facebook.com/100064391875569/posts/756098619879860"
"detikcom","ID",2021-09-01,92,"China saat ini sedang fokus mencoba menghentikan lonjakan kasus yang menimbulkan krisis logistik. Ini biang keroknya:","https://www.facebook.com/374777242078/posts/10160830386712079"
"GMA News","PH",2022-06-01,92,"Sa gitna ng mainit na isyu sa agawan ng teritoryo, ilang sakop ng exclusive economic zone ng Pilipinas ang isinama ng China sa ipinatutupad nilang fishing ban hanggang Agosto. Ang ilang mangingisda, takot na raw dahil itinataboy ng Chinese Coast Guard. Pero paghikayat ng gobyerno, huwag silang tumigil sa pagpalaot. | June 1, 2022","https://www.facebook.com/116724526976/posts/10161005365121977"
"GMA News","PH",2021-05-18,92,"In a statement, Senate President Vicente Sotto III suggested pursuing studies on oil exploration in the Philippine exclusive economic zone (EEZ) to “underscore” the 2016 arbitral ruling and “affirm” the country’s claim in the resource-rich area.","https://www.facebook.com/116724526976/posts/10160053647531977"
"Digi24","RO",2021-05-06,91,"Cele două state sunt implicate într-o dispută comercială care a escaladat anul trecut, când China a lovit prin tarife şi întârzieri vamale exporturile australiene de vin, carne de vită, orz şi cărbune.","https://www.facebook.com/361342783884945/posts/4536119603073888"
"CNA","SG",2024-01-21,91,"The response from America, China and Japan to Thailand's idea of a land bridge to bypass the Straits of Malacca has been polite but non-committal, says this ISEAS-Yusof Ishak Institute senior fellow.","https://www.facebook.com/100064391875569/posts/771386305017758"
"detikcom","ID",2020-01-27,91,"Virus corona diperkirakan menjadi pukulan bagi ekonomi China. Para pejabat Negara Tirai Bambu mewaspadai wabah ini menjadi ancaman dalam beberapa waktu ke depan. #VirusCorona via Detikfinance","https://www.facebook.com/374777242078/posts/10158807601572079"
"Infobae","AR",2023-04-11,91,"Podrían poner en peligro la seguridad y la economía del gigante sudamericano","https://www.facebook.com/34839376970/posts/10161087723016971"
"Diario El Comercio (Perú)","PE",2022-06-01,91,"🚨🇨🇳 Diez islas del Pacífico Sur rechazaron este lunes una propuesta de China para un gran acuerdo de seguridad, en un contexto de preocupación de que ese pacto coloque a la región bajo la órbita de Beijing. . . . . Contenido de lectura gratuita 📰 En estas épocas es importante estar bien informado, suscríbete en http://bit.ly/3qO90JD:=:https://elcomercio.pe/suscripcionesdigitales/ y ten acceso a los mejores contenidos.","https://www.facebook.com/71263708835/posts/10161002680723836"
"Digi24","RO",2024-01-17,90,"„Roadele ştiinţifice şi tehnologice ar trebui să fie benefice umanităţii în ansamblu, în loc să devină un mijloc de a restricţiona sau de a limita dezvoltarea altor ţări”","https://www.facebook.com/100064669300182/posts/815839993914970"
"RTÉ News","IE",2022-04-15,90,"The daily tally of Covid-19 cases in Shanghai, which is at the centre of China's epidemic, has fallen slightly, authorities said today, as the city's lockdown threatened to exact a heavier toll on the world's second-biggest economy.","https://www.facebook.com/257558294273180/posts/5685843058111316"
"detikcom","ID",2022-03-24,90,"AS dan sekutunya tengah mempertimbangkan untuk menendang Rusia dari kelompok ekonomi G20, meski tampaknya anggota seperti Cina dan India menolak.","https://www.facebook.com/374777242078/posts/10161301879537079"
"detikcom","ID",2020-10-15,90,"Memperingati 40 tahun zona ekonomi khusus Shenzhen, Presiden Cina Xi Jinping mengatakan dalam pidatonya hari Rabu (14/10), hak kepemilikan pribadi dan perlindungan pengusaha akan diperkuat di kawasan khusus itu. #China","https://www.facebook.com/374777242078/posts/10159818214662079"
"Infobae","AR",2020-02-24,90,"ADVERTENCIA DEL FMI Kristalina Georgieva estimó que el brote reducirá el crecimiento mundial en torno al 0,1% y limitará el crecimiento de China al 5,6% este año.","https://www.facebook.com/34839376970/posts/10157803500331971"
"CBC News","CA",2022-10-22,90,"#ANALYSIS: A Canadian cabinet minister arrived in Washington with a message: We need to decouple from China. He made a pitch for U.S. investment in Canadian mineral projects to lessen reliance on Beijing for the industrial inputs that increasingly power our economy.","https://www.facebook.com/100064598657599/posts/492924899537461"
"NU.nl","NL",2020-07-28,89,"Er staan ruim 200 nieuwe apps op de zwarte lijst waaronder AliExpress.","https://www.facebook.com/129383287089484/posts/3869531279741314"
"Malaysiakini","MY",2021-12-27,89,"[KiniNews] Former prime minister Najib Abdul Razak has called Dr Mahathir Mohamad a racist and a liar for switching his stance on foreign direct investment (FDI) from China during his 22-month second stint as premier. Najib hurled the accusation at the nonagenarian citing the controversial Forest City project, a massive land reclamation housing project by China's giant Country Garden Holdings, as an example. ""The Forest City project was also made into political propaganda to attack me,"" he said while delivering the keynote address at the 2021 World Chinese Economic Forum in Petaling Jaya today. Meanwhile, WCEF said it invited Najib as a keynote speaker because of his commitment to Malaysia-China bilateral relations. ___________________ [AD] Fast Action, Amazing Sharp Display, Outstanding Pure Color. Have A VIP Experience At Home with LG NanoCell's Very Impressive Picture! No matter what's on, you'll surely be impressed by its Picture Quality. https://www.lg.com/my/nanocell-tvs ----------------------- Support independent media, subscribe to Malaysiakini.com - https://bit.ly/3B3ztIa:=:https://membership.malaysiakini.com/membership/start?internal_source=kinitv","https://www.facebook.com/47298465905/posts/4881194138570581"
"CNA","SG",2024-01-17,89,"Chinese Premier Li Qiang says that ""discriminatory"" trade barriers are a threat to the global economy.","https://www.facebook.com/100064391875569/posts/768834688606253"
"Infobae","AR",2022-09-11,89,"Sequía, apagones, cuarentenas, crisis inmobiliaria, devaluación, desaceleración económica","https://www.facebook.com/34839376970/posts/10160429866856971"
"Diario El Comercio (Perú)","PE",2022-09-03,89,"🌡☀ El gigante asiático advirtió de la “grave amenaza” que las condiciones climáticas suponen para la próxima cosecha de otoño. ¿Qué solución han implementado? 🌧","https://www.facebook.com/71263708835/posts/10161172260143836"
"NDTV","IN",2020-12-26,89,"According to Asia Times, Pakistan Army is set to take near-total control of the CPEC in a bid to reassure Beijing that their investments will be more secure amid militant attacks on Chinese engineers and others facilitating the infrastructure projects.","https://www.facebook.com/102527030797/posts/10159417333780798"
"GMA News","PH",2023-07-16,89,"Former US Air Force official and ex-Defence Attaché Ray Powell said on Twitter that China’s “monster ship” was seen together with more than 30 Chinese militia vessels at the Ayungin Shoal — well within the Philippines’ exclusive economic zone. GMA Integrated News sought comment from the Department of National Defense, the National Security Council, and the Chinese Embassy, but they have yet to issue statements.","https://www.facebook.com/100064849986224/posts/674371511401176"
"Digi24","RO",2021-07-06,88,"Parlamentul European a amânat votul asupra unui mult-aşteptat acord de investiţii între China şi UE. Această decizie a fost provocată de contra-sancţiunile aspre impuse de China în martie în replică la acţiunile punitive ale europenilor împotriva unor oficiali chinezi.","https://www.facebook.com/361342783884945/posts/4721455044540342"
"RTÉ News","IE",2022-11-22,88,"Beijing has shut parks, shopping malls and museums while more Chinese cities resumed mass testing for Covid-19, as China fights a spike in cases, deepening concerns about its economy and dampening hopes for a quick post-coronavirus reopening.","https://www.facebook.com/257558294273180/posts/6343341459028136"
"Citizen TV Kenya","KE",2022-11-22,88,"Beijing shuts parks, museums as China's COVID cases rise http://ow.ly/RS5350LKq9N:=:https://www.citizen.digital/news/beijing-shuts-parks-museums-as-chinas-covid-cases-rise-n309788","https://www.facebook.com/261061365404/posts/10167567820385405"
"CNA","SG",2021-08-08,88,"“They travel, they have quite a luxurious dinner, they have holidays”: One top Chinese economist thinks the newly retired generation could well power China’s economy.","https://www.facebook.com/93889432933/posts/10158464216112934"
"detikcom","ID",2020-12-12,88,"Vaksin COVID-19 asal China sudah tiba di Indonesia. Bisakah pemulihan ekonomi berjalan lebih cepat dengan adanya vaksin ini?","https://www.facebook.com/374777242078/posts/10160011515192079"
"CNA","SG",2023-05-08,87,"Australia has announced plans to increase its defence spending, as it attempts to respond to a perceived threat from China.","https://www.facebook.com/93889432933/posts/10159618985727934"
"CNA","SG",2022-06-08,87,"The World Bank projects growth in China to slow to 4.3% in 2022, down from an earlier forecast of 5.1%.","https://www.facebook.com/93889432933/posts/10158958789002934"
"Diario El Comercio (Perú)","PE",2023-03-15,87,"📌 China apunta a lograr un crecimiento económico más rápido de alrededor del 5% y con una mejor calidad de desarrollo en el 2023, a medida que acelera el ritmo de su recuperación e impulsa su modernización. [Espacio contratado]","https://www.facebook.com/71263708835/posts/10161675523238836"
"Digi24","RO",2022-11-07,86,"Singura țară care încă impune restricții anti-Covid-19, China cunoaște o nouă explozie de cazuri de Covid.","https://www.facebook.com/361342783884945/posts/6292883847397446"
"RTÉ News","IE",2023-03-21,86,"Russian President Vladimir Putin has welcomed Chinese leader Xi Jinping at the Kremlin for the start of formal talks expected to focus on the Ukraine crisis and deepening economic cooperation.","https://www.facebook.com/257558294273180/posts/6733484833347128"
"Citizen TV Kenya","KE",2021-10-08,86,"Shiko Kihika – Founder, Tribeless Youth: “We cannot over look corruption as DNG is doing, because it has rendered young people jobless & has made them hopeless. Kenya is a Tala-Mshawri economy where the government has to borrow from IMF to repay China #DayBreak @TrevorOmbija","https://www.facebook.com/261061365404/posts/10166067321315405"
"CNA","SG",2024-01-16,86,"China's growing economic influence might become a provocative issue in Indonesia's Feb 14 elections, say these academics.","https://www.facebook.com/100064391875569/posts/768235795332809"
"CNA","SG",2023-11-19,86,"A box office hit on cyber scams and human trafficking has left Chinese tourists fearing for their safety in Southeast Asian holiday destinations.","https://www.facebook.com/100064391875569/posts/733188365504219"
"CBC News","CA",2020-02-25,86,"Dow Jones loses almost 1000 points at open, price of oil sells off too","https://www.facebook.com/5823419603/posts/10158364239319604"
"CNA","SG",2023-09-15,85,"Mr Onn Hafiz Ghazi said the proposed SEZ with Singapore could allow the Malaysian state to emulate Chinese city Shenzhen’s transformation from a fisherman’s village to an international metropolis within four decades.","https://www.facebook.com/100064391875569/posts/694304889392567"
"Diario El Comercio (Perú)","PE",2021-01-13,85,"🔺 El ministro de Economía y Finanzas, Waldo Mendoza, garantizó el primer abono para la compra de la vacuna china de Sinopharm. . . . . 📰 En estas épocas es importante estar bien informado, suscríbete en https://bit.ly/3gFTjQK:=:https://elcomercio.pe/suscripciones/?utm_source=facebook&utm_medium=post-redaccion&utm_campaign=post-redaccion-valla&utm_term=post-redaccion-valla-elcomercio&utm_content=elcomercio y ten acceso a los mejores contenidos.","https://www.facebook.com/71263708835/posts/10159784962728836"
"Diario El Comercio (Perú)","PE",2020-01-15,85,"Luego de casi dos años de permanente tensión y constantes aumentos de aranceles, ambos países buscan finalizar la guerra comercial. Especialistas indican que las materias primas peruanas podrían verse beneficiadas con este acuerdo. ¿Cuál será el escenario para nuestro país? 👇📈","https://www.facebook.com/71263708835/posts/10158550783918836"
"NDTV","IN",2022-04-10,85,"Former Prime Minister of Sri Lanka Ranil Wickremesinghe also stated that when he was the PM in 2019 the country's economy was in healthy status with a capital surplus.","https://www.facebook.com/102527030797/posts/10160429571835798"
"GMA News","PH",2023-02-24,85,"Isinapubliko ng Philippine Coast Guard ang radio challenge na natanggap ng kanilang eroplano mula sa China Coast Guard. Dito maririnig na pinapalayas sila ng mga Tsino sa bahagi ng Ayungin Shoal na nasa loob ng exclusive economic zone ng Pilipinas.","https://www.facebook.com/116724526976/posts/10161635509111977"
"Digi24","RO",2021-01-12,84,"China, prima economie importantă care a eliminat carantina strictă, a ajuns deja la un nivel al emisiilor mai mare decât cel înregistrat înainte de pandemie.","https://www.facebook.com/361342783884945/posts/4189403434412175"
"Digi24","RO",2020-03-11,84,"LiveScience a realizat un top al celor mai periculoase 12 virusuri cunoscute până în prezent, ţinând cont de rata de mortalitate.","https://www.facebook.com/361342783884945/posts/3307094005976460"
"NU.nl","NL",2021-11-25,84,"Het zou mogelijk een keerpunt zijn! 🙏","https://www.facebook.com/129383287089484/posts/5419387331422360"
"CNA","SG",2023-05-27,84,"""The Asia-Pacific region has always been the region with the most growth vitality, development potential and economic resilience in the global economy,"" says China's commerce minister.","https://www.facebook.com/93889432933/posts/10159655178857934"
"CNA","SG",2022-02-17,84,"Taiwan’s government has proposed new ""economic espionage"" offences aimed at preventing China from stealing its chip technology.","https://www.facebook.com/93889432933/posts/10158780794382934"
"CNA","SG",2023-08-31,84,"What do the latest default risks in China's property sector mean for its economy and the world? We ask the experts.","https://www.facebook.com/100064391875569/posts/685495943606795"
"ABC News","AU",2020-05-22,84,"The mass gathering is seen as a display of China's strength in containing coronavirus and reviving the world's second-largest economy.","https://www.facebook.com/72924719987/posts/10161237789989988"
"RTÉ News","IE",2022-06-09,83,"Shanghai and Beijing went back on fresh Covid-19 alert after parts of China's largest economic hub started imposing new lockdown restrictions while the most populous district in the Chinese capital shut entertainment venues.","https://www.facebook.com/257558294273180/posts/5849340651761555"
"RTÉ News","IE",2021-06-14,83,"At a glance: What the G7 agreed this weekend","https://www.facebook.com/257558294273180/posts/4677880205574278"
"CNA","SG",2021-06-04,83,"China and the US will lead the way in fuelling economic growth this year, says economist Nouriel Roubini.","https://www.facebook.com/93889432933/posts/10158341493432934"
"CNA","SG",2020-04-29,82,"Listen: 🎧 A recession is coming, are you ready to do what it takes to survive it? We discuss this and a round up of the news in this week's Good List, Bad List podcast.","https://www.facebook.com/93889432933/posts/10157372487292934"
"detikcom","ID",2020-10-10,82,"Meski sejumlah pihak memandang China cepat bangkit dari dampak pandemi virus Corona (COVID-19), namun pemulihan ekonomi China tak 'seindah' kelihatannya. Begini faktanya. #China via Detikfinance","https://www.facebook.com/374777242078/posts/10159802823487079"
"detikcom","ID",2020-02-05,82,"China memperpanjang libur massalnya hingga pertengahan Februari 2020 demi mengantisipasi penyebaran virus corona. Imbasnya bisa bikin industri di RI ikut loyo. Begini jelasnya: #viruscorona via Detikfinance","https://www.facebook.com/374777242078/posts/10158847172617079"
"Infobae","AR",2022-04-15,82,"Pandemia, guerra en Ucrania y economía","https://www.facebook.com/34839376970/posts/10160053899166971"
"Thairath - ไทยรัฐออนไลน์","TH",2023-03-30,81,"Thairath Money จีน แผ่อิทธิพลด้วยกับดักหนี้ พบ 13 ปี ปล่อยกู้ทั่วโลกมากกว่า 8 ล้านล้านบาท ผ่าน BRI โครงการจีนเชื่อมโลก","https://www.facebook.com/146406732438/posts/10162247362472439"
"Malaysiakini","MY",2020-02-02,81,"CORONAVIRUS | China is one of Malaysia's most important trading partners and many sectors will be hit, says Economic Affairs Minister.","https://www.facebook.com/47298465905/posts/10156877005720906"
"CNA","SG",2020-10-20,81,"Unlike after the 2008 global financial crisis, China's strong economic performance this time is not going to matter as much in uplifting the global economy, say observers.","https://www.facebook.com/93889432933/posts/10157830177587934"
"Infobae","AR",2020-08-25,81,"Anunció cambios en la orientación de su economía","https://www.facebook.com/34839376970/posts/10158488719301971"
"NDTV","IN",2022-01-09,81,"China's Economic Power Peaking: Top Trends Of 2022","https://www.facebook.com/102527030797/posts/10160258298925798"
"Malaysiakini","MY",2023-03-31,80,"PM describes China as the world's economic giant. https://cstu.io/115e68:=:https://www.malaysiakini.com/news/660639","https://www.facebook.com/47298465905/posts/10159418908045906"
"CNA","SG",2022-02-11,80,"Foreign ministers of the Quad will also discuss the escalating crisis between the West and Russia over Ukraine.","https://www.facebook.com/93889432933/posts/10158771134092934"
"El Tiempo","CO",2020-02-24,80,"Pues bueno, esto demuestra que nada está escrito... ¿Cómo pasaron de ser el país menos desarrollado del planeta a tener una economía sólida? Entérese aquí⬇ | Vía: BBC News Mundo","https://www.facebook.com/148349507804/posts/10156904840982805"
"ABC News","AU",2022-07-15,80,"Australia's biggest trading partner, China has suffered a 2.6 per cent drop in GDP for the June quarter. It comes amid reports that China may lift its coal ban on Australia.","https://www.facebook.com/72924719987/posts/10163605673629988"
"GMA News","PH",2022-05-31,80,"According to the AMTI, China challenged vessels conducting marine research and hydrocarbon exploration activities within the Philippines’ EEZ. A 60-meter research vessel operated by the Department of Agriculture's Bureau of Fisheries and Aquatic Resources (DA BFAR) from Palawan was trailed by Chinese Coast Guard (CCG) vessel 5304 at extremely close distances.","https://www.facebook.com/116724526976/posts/10160999991631977"
"GMA News","PH",2023-11-25,80,"China will temporarily exempt citizens of France, Germany, Italy, the Netherlands, Spain, and Malaysia from needing visas to visit the world's second-largest economy in a bid to give a boost to post-pandemic tourism.","https://www.facebook.com/100064849986224/posts/758287509676242"
"GMA News","PH",2023-06-16,80,"A Chinese Navy ship tailed a Philippine government vessel in the disputed West Philippine Sea on Thursday. The rare encounter with China’s gray ship or military ship took place six nautical miles southwest of Pag-asa Island, an area well within the 200-nautical mile exclusive economic zone of the Philippines. A team from GMA Integrated News together with journalists from other media organizations witnessed the incident while on board BRP Francisco Dagohoy, a multi-mission vessel of the Bureau of Fisheries and Aquatic Resources or BFAR. The commanding officer of the BRP Francisco Dagohoy downplayed the close encounter with the Chinese gray ship. “Doon sa action ng Chinese Navy wala naman aggressive maneuver na ginawa,” Lieutenant Commander Mark Adrias said.","https://www.facebook.com/100064849986224/posts/655088693329458"
"CNA","SG",2022-03-05,79,"China said it will introduce new incentives to cut pollution and carbon emissions, but flexibility and stability remain its top priorities.","https://www.facebook.com/93889432933/posts/10158807635102934"
"Infobae","AR",2024-01-25,79,"Recordatorio público de que la confianza en la economía china está en su punto más bajo en décadas","https://www.facebook.com/100064884184347/posts/825982829574516"
"ABC News","AU",2022-10-30,79,"Pandemic measures are only part of the reason foreigners are leaving China in droves. Many believe the spirit of openness that underpinned China's economic rise could be in terminal decline.","https://www.facebook.com/72924719987/posts/10163854682304988"
"ABC News","AU",2021-10-03,79,"China pursues a policy of ""common prosperity"", the country's real estate market is likely to take a hit.","https://www.facebook.com/72924719987/posts/10162915202814988"
"NDTV","IN",2022-03-18,79,"Just three weeks ago China was reporting under 100 Covid cases daily, but that number has swelled past 1,000 per day for a week.","https://www.facebook.com/102527030797/posts/10160387108195798"
"Infobae","AR",2020-02-23,78,"El presidente chino admitió “deficiencias” en la respuesta del gobierno frente a la epidemia. “Esto es una crisis para nosotros y una gran prueba”, expresó, erpo confió en que los efectos en la economía sean “de corto plazo”.","https://www.facebook.com/34839376970/posts/10157801798341971"
"Diario El Comercio (Perú)","PE",2022-08-25,78,"🇨🇳 La cosecha de otoño en China se encuentra bajo “grave amenaza” por las altas temperaturas y la sequía, advirtieron las autoridades, urgiendo a tomar acciones para proteger los cultivos.","https://www.facebook.com/71263708835/posts/10161157212108836"
"Malaysiakini","MY",2021-08-24,77,"US Vice President Kamala Harris said on Monday during a visit to Singapore that the United States was focusing on evacuation efforts taking place in Afghanistan and that there would be plenty of time to analyse the context of the troop withdrawal. Harris met with Singapore's Prime Minister Lee Hsien Loong and President Halimah Yacob during a trip aimed at bolstering ties with partners in the region as part of Washington's efforts to counter China's growing economic and security influence. ""There is going to be plenty of time to analyse what has happened and what has taken place in the context of the withdrawal from Afghanistan,"" Harris said during a joint news conference with Singapore's prime minister. ""But right now we are singularly focused on evacuating American citizens, Afghans who have worked with us and Afghans who are vulnerable, including women and children and that is our singular focus at this time,"" said Harris. -Reuters -","https://www.facebook.com/47298465905/posts/10158336144295906"
"CNA","SG",2023-03-09,77,"🎧 Beijing announced one of its lowest Gross Domestic Product (GDP) targets in decades. Are there still investment opportunities to be had? On this episode of the Money Mind podcast.","https://www.facebook.com/93889432933/posts/10159500930902934"
"NDTV","IN",2022-01-09,77,"The island's tourism-dependent economy has been hammered by the pandemic and its depleted foreign exchange reserves have led to food rationing at supermarkets and shortages of essential goods.","https://www.facebook.com/102527030797/posts/10160260007305798"
"NDTV","IN",2022-08-24,77,"Youth unemployment has remained high, reaching a record 19.9% in July, the fourth month in which the rate had broken records.","https://www.facebook.com/100064668314825/posts/456535206512086"
"Citizen TV Kenya","KE",2024-01-18,76,"China’s population declines for second straight year as economy stumbles","https://www.facebook.com/100044260518058/posts/942990747186267"
"Citizen TV Kenya","KE",2023-11-02,76,"HRW Accuses Uganda Of Crackdown On Activists Protesting Oil Project","https://www.facebook.com/100044260518058/posts/896704181814924"
"CNA","SG",2023-03-08,76,"Outgoing Chinese Premier Li Keqiang's final work report was short on future plans – just six pages out of 32 - in contrast with previous years, says Coface's Bernard Aw.","https://www.facebook.com/93889432933/posts/10159498458882934"
"CNA","SG",2023-03-03,76,"Macao reopened its borders on Jan 8, but now competes with Southeast Asian countries in attracting Chinese tourists, say these researchers.","https://www.facebook.com/93889432933/posts/10159488914662934"
"detikcom","ID",2021-08-06,76,"Melesatnya ekonomi China banyak terbantu oleh kesuksesan para raksasa teknologinya. Akan tetapi pemerintah China malah seakan menghajar para perusahaan itu.","https://www.facebook.com/374777242078/posts/10160764548887079"
"GMA News","PH",2023-08-21,76,"Finance Secretary Benjamin Diokno said the Philippines is diversifying its sources of financing for its big-ticket infrastructure projects amid calls to ban Chinese firms from taking part in government contracts. The Marcos administration’s chief economic manager reiterated his stance about the implications of banning Chinese firms, noting that “some of the projects will suffer.” Furthermore, Diokno said, now “we have a wider source, let's put it that way.”","https://www.facebook.com/100064849986224/posts/697818115723182"
"Malaysiakini","MY",2020-02-03,75,"CORONAVIRUS | Near-term shock to Chinese economy will be much higher than SARS period, says analyst.","https://www.facebook.com/47298465905/posts/10156880478715906"
"detikcom","ID",2020-02-05,75,"Mari Elka Pangestu mengatakan jika ekonomi China goyah gara-gara virus Corona maka pertumbuhan ekonomi Indonesia bisa turun sekitar 0,3%. #viruscorona via Detikfinance","https://www.facebook.com/374777242078/posts/10158847710307079"
"Infobae","AR",2020-03-14,75,"Las escalofriantes primeras estimaciones | Por Gustavo Sierra","https://www.facebook.com/34839376970/posts/10157868055516971"
"Infobae","AR",2023-08-08,74,"Analistas estiman que las cifras continuarán en bajada https://bit.ly/3DO5nvK:=:https://www.infobae.com/america/mundo/2023/08/08/china-registro-la-mayor-caida-de-exportaciones-desde-la-pandemia-y-su-recuperacion-se-enfria-cada-vez-mas/ China sufrió el mes pasado su mayor caída de las exportaciones en más de tres años, según mostraron el martes datos oficiales, en un momento en que la segunda economía mundial se ve golpeada por la atonía de la demanda global y la ralentización interna. Los datos probablemente intensificarán los llamados a los líderes para que hagan más por reactivar el crecimiento, tras haber presentado en las últimas semanas una serie de medidas de estímulo centradas en los consumidores y en el problemático sector inmobiliario.","https://www.facebook.com/100064884184347/posts/693981976107936"
"Diario El Comercio (Perú)","PE",2020-07-29,74,"#OPINIÓN | ""Esta narrativa se está usando no solo para justificar el proteccionismo contra China, sino también para criticar el libre comercio en sí"", escribe Ian Vásquez sobre los que afirman en Washington que esta política de libre comercio ""solo benefició a las élites estadounidenses y al gigante asiático, fortaleciendo su régimen autoritario y perjudicando a la economía estadounidense"". 📰 Contenido solo para suscriptores de El Comercio. Suscríbete aquí para leer más informes ► bit.ly/2HyFXF5:=:https://elcomercio.pe/suscripciones/?ref=btn-suscribete-elcomercio&loc=home","https://www.facebook.com/71263708835/posts/10159291792648836"
"ABC News","AU",2022-04-01,74,"Northern Territory businesses are hoping to capitalise on any new investments and there is local excitement for potential economic opportunities ahead.","https://www.facebook.com/72924719987/posts/10163358420139988"
"GMA News","PH",2022-10-15,74,"As China's leaders gather for a crucial party congress, the country is expected on Tuesday to announce some of its weakest quarterly growth figures since 2020, its economy hobbled by COVID-19 restrictions and a real estate crisis.","https://www.facebook.com/116724526976/posts/10161265927241977"
"Thairath - ไทยรัฐออนไลน์","TH",2021-09-23,73,"ความวิตกกังวลว่าบริษัทอสังหาริมทรัพย์ยักษ์ใหญ่อันดับ 2 ของจีน บริษัทเอเวอร์แกรนด์ อาจจะล้มละลายในเร็วๆนี้ หากไม่มีมาตรการช่วยเหลือใดๆ จากรัฐบาลจีน #เหะหะพาที #ไทยรัฐออนไลน์","https://www.facebook.com/146406732438/posts/10160909395232439"
